"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Alvin Scott",627,NA,10853,1171,2436,NA,NA,1167,2416,742,1012,661,1331,1992,847,404,371,617,1034,3088
"Alvin Sims",4,0,25,4,10,1,1,3,9,2,5,3,1,4,5,2,0,6,2,11
"Alvin Williams",514,347,13681,1789,4232,217,692,1572,3540,690,912,276,945,1221,1980,587,112,681,976,4485
"Amal McCaskill",114,4,968,81,215,0,3,81,212,42,69,75,138,213,36,24,36,52,132,204
"Amar'e Stoudemire",905,711,27499,6184,11499,30,131,6154,11368,4276,5630,2139,4822,6961,1095,665,1092,2031,2846,16674
"Amida Brimah",5,0,29,5,8,0,0,5,8,3,3,2,6,8,1,0,5,4,4,13
"Amile Jefferson",30,0,142,15,30,0,0,15,30,12,22,16,28,44,7,4,6,4,15,42
"Amir Coffey",169,41,2658,326,749,135,364,191,385,179,221,56,249,305,208,60,20,83,185,966
"Amir Johnson",870,485,18323,2558,4490,107,322,2451,4168,879,1307,1723,2969,4692,1073,524,839,932,2578,6102
"Anderson Varejão",685,209,15583,1861,3674,1,44,1860,3630,989,1568,1548,3124,4672,772,553,417,615,1703,4712
"Andrae Patterson",40,0,304,46,101,0,5,46,96,28,36,31,36,67,16,20,7,23,66,120
"Andray Blatche",564,191,12462,2327,4981,52,219,2275,4762,1000,1380,1043,1981,3024,798,492,458,914,1382,5706
"Andre Barrett",124,2,1584,172,469,33,135,139,334,47,64,41,95,136,256,58,2,89,133,424
"Andre Brown",75,1,598,82,159,0,1,82,158,33,66,70,108,178,11,14,8,48,73,197
"Andre Dawkins",4,0,22,1,6,1,6,0,0,0,0,0,2,2,1,0,0,1,3,3
"Andre Drummond",931,768,26300,5231,9708,20,162,5211,9546,1956,3992,3978,7878,11856,1403,1248,1276,1890,2861,12438
"Andre Emmett",14,0,73,6,13,0,1,6,12,8,13,2,6,8,1,2,1,3,6,20
"Andre Iguodala",1226,784,39436,5024,10859,1081,3271,3943,7588,2829,3991,1116,4921,6037,5133,1762,631,2236,2174,13958
"Andre Ingram",6,0,79,8,23,5,12,3,11,3,3,2,6,8,7,4,3,4,3,24
"Andre McCarter",103,NA,1182,170,394,NA,NA,168,386,50,69,32,63,95,172,37,0,NA,100,392
"Andre Miller",1562,1024,45930,6769,14640,218,986,6551,13654,4379,5444,1547,3934,5481,9717,1738,252,3545,3290,18135
"Andre Moore",20,0,100,18,54,0,0,18,54,12,16,12,16,28,12,4,2,8,12,48
"Andre Owens",54,9,602,67,181,21,56,46,125,37,52,24,44,68,55,18,3,37,62,192
"Andre Roberson",307,269,6801,573,1211,112,443,461,768,124,265,362,868,1230,265,268,199,185,658,1382
"Andre Spencer",96,4,1542,250,562,0,4,250,558,192,262,136,172,308,92,72,28,94,214,692
"Andre Turner",181,4,2638,318,765,14,61,304,704,143,186,66,205,271,558,145,3,224,211,793
"Andre Wakefield",154,NA,1219,130,369,NA,NA,130,369,99,141,50,106,156,143,39,4,154,153,359
"Andrea Bargnani",550,377,15806,2932,6676,627,1771,2305,4905,1382,1677,530,2011,2541,653,207,470,851,1338,7873
"Andreas Glyniadakis",13,4,81,8,17,0,0,8,17,1,2,2,6,8,1,0,0,9,19,17
"Andrei Kirilenko",797,546,23916,3146,6637,367,1185,2779,5452,2772,3675,1400,2952,4352,2169,1097,1461,1518,1605,9431
"Andrés Guibert",22,0,200,22,67,0,4,22,63,16,25,26,35,61,12,8,2,18,35,60
"Andrés Nocioni",590,221,14004,2231,5179,711,1885,1520,3294,1109,1389,408,2248,2656,716,254,261,837,1655,6282
"Andrew Anderson",311,NA,7678,1327,3160,11,82,1316,3078,767,1007,NA,NA,887,536,NA,NA,512,734,3432
"Andrew Bogut",733,682,20445,3024,5666,3,26,3021,5640,836,1506,1810,4520,6330,1595,455,1116,1247,2272,6887
"Andrew Bynum",444,338,11206,2011,3671,1,9,2010,3662,1024,1480,1060,2306,3366,519,139,686,678,1059,5047
"Andrew DeClercq",634,285,10949,1256,2483,0,2,1256,2481,674,1073,1129,1614,2743,370,440,330,604,1950,3186
"Andrew Gaze",26,0,128,16,42,9,24,7,18,2,2,3,9,12,11,4,2,7,16,43
"Andrew Goudelock",49,0,475,77,196,29,84,48,112,14,16,7,27,34,24,10,2,28,36,197
"Andrew Harrison",162,64,3174,330,895,100,348,230,547,306,389,58,249,307,423,99,51,190,400,1066
"Andrew Lang",808,449,17709,2133,4575,6,25,2127,4550,991,1320,1341,2625,3966,489,374,1225,821,2278,5263
"Andrew Levane",103,NA,NA,197,635,NA,NA,197,635,69,109,NA,NA,NA,204,NA,NA,NA,158,463
"Andrew Nembhard",45,34,1221,151,353,57,166,94,187,24,27,25,107,132,181,45,9,80,124,383
"Andrew Nicholson",323,36,4422,751,1628,92,298,659,1330,206,269,203,715,918,136,90,101,229,513,1800
"Andrew Toney",468,303,12608,2859,5718,138,403,2721,5315,1602,2010,235,774,1009,1965,369,105,1394,1341,7458
"Andrew White",15,0,209,25,73,18,49,7,24,1,4,4,30,34,6,3,1,8,12,69
"Andrew Wiggins",682,682,23750,4925,10975,1026,2923,3899,8052,2340,3251,851,2216,3067,1657,680,479,1361,1512,13216
"Andris Biedriņš",516,311,11146,1432,2409,0,2,1432,2407,383,766,1190,2441,3631,467,331,580,479,1626,3247
"Andy Duncan",136,NA,NA,294,720,NA,NA,294,720,158,265,NA,NA,NA,101,NA,NA,NA,371,746
"Andy Johnson",292,NA,6772,1083,2762,NA,NA,1083,2762,681,1126,NA,NA,1190,675,NA,NA,NA,868,2847
"Andy Kostecka",21,NA,NA,46,110,NA,NA,46,110,43,70,NA,NA,NA,14,NA,NA,NA,48,135
"Andy O'Donnell",25,NA,NA,38,108,NA,NA,38,108,14,18,NA,NA,NA,17,NA,NA,NA,32,90
"Andy Panko",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andy Phillip",771,NA,NA,2573,6947,NA,NA,2573,6947,1960,2800,NA,NA,NA,4156,NA,NA,NA,2154,7106
"Andy Rautins",5,0,24,3,7,1,4,2,3,1,2,0,1,1,3,1,0,7,0,8
"Andy Tonkovich",17,NA,NA,19,71,NA,NA,19,71,6,9,NA,NA,NA,10,NA,NA,NA,12,44
"Andy Toolson",60,15,523,58,146,15,44,43,102,28,37,32,41,73,32,14,2,26,70,159
"Andy Walker",40,NA,438,72,156,NA,NA,72,156,36,47,23,52,75,32,20,7,NA,59,180
"Anfernee Hardaway",780,571,25806,4274,9410,533,1670,3741,7740,2302,2969,1044,2389,3433,3701,1195,332,1893,1708,11383
"Anfernee Simons",259,83,6097,1132,2619,556,1435,576,1184,360,421,81,508,589,614,108,36,337,469,3180
"Ángel Delgado",2,0,15,1,5,0,0,1,5,1,2,2,2,4,0,1,0,0,2,3
"Angelo Musi",161,NA,NA,558,1921,NA,NA,558,1921,243,315,NA,NA,NA,117,NA,NA,NA,284,1359
"Ansley Truitt",16,NA,86,18,42,0,0,18,42,3,9,10,28,38,2,NA,NA,7,9,39
"Ansu Sesay",127,6,1301,161,371,8,29,153,342,71,111,102,121,223,62,38,30,58,162,401
"Antawn Jamison",1149,928,40044,8157,18060,1248,3612,6909,14448,3715,5160,2693,6019,8712,1845,1119,442,1805,2759,21277
"Ante Žižić",113,27,1517,273,470,0,0,273,470,128,180,150,296,446,64,22,40,82,170,674
"Anthony Avent",426,196,8100,964,2417,0,2,964,2415,419,604,704,1218,1922,343,199,242,501,971,2347
"Anthony Bennett",151,4,1905,251,641,36,138,215,503,120,179,132,340,472,77,58,27,99,206,658
"Anthony Bonner",318,120,7372,881,1881,2,16,879,1865,435,737,708,1018,1726,442,346,84,450,784,2199
"Anthony Bowie",461,87,8349,1247,2628,67,211,1180,2417,384,466,299,722,1021,840,288,106,478,711,2945
"Anthony Brown",52,11,921,76,227,35,125,41,102,17,20,25,111,136,36,24,7,27,64,204
