"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts","mpg","fg_percent","x3p_percent","x2p_percent","ft_percent","pts_per_game","hof","pos","years"
"DeSagana Diop",755,117,10734,671,1528,1,6,670,1522,238,517,1108,1776,2884,342,282,774,452,1493,1581,14.2172185430464,0.43913612565445,0.166666666666667,0.440210249671485,0.460348162475822,2.09403973509934,FALSE,3,12
"Dickey Simpkins",367,100,5634,543,1213,2,11,541,1202,432,711,450,814,1264,338,100,65,400,647,1520,15.3514986376022,0.44765045342127,0.181818181818182,0.450083194675541,0.607594936708861,4.141689373297,FALSE,3,7
"Dikembe Mutombo",1271,1072,39382,4438,8601,0,2,4438,8599,3602,5251,4115,9259,13374,1316,523,3492,2317,3587,12478,30.985051140834,0.51598651319614,0,0.51610652401442,0.685964578175586,9.81746656176239,TRUE,3,18
"Dino Radja",224,172,7308,1516,3052,0,3,1516,3049,701,954,497,1386,1883,356,201,282,495,745,3733,32.625,0.496723460026212,0,0.497212200721548,0.734800838574423,16.6651785714286,TRUE,3,4
"Donald Hodge",264,35,3616,471,1081,4,14,467,1067,254,357,315,517,832,195,85,103,238,557,1200,13.6969696969697,0.435707678075856,0.285714285714286,0.43767572633552,0.711484593837535,4.54545454545455,FALSE,3,5
"Drew Gooden",1050,673,27141,4644,10060,103,408,4541,9652,2331,3038,2536,5031,7567,1155,716,638,1614,2670,11722,25.8485714285714,0.461630218687873,0.252450980392157,0.470472440944882,0.767281105990783,11.1638095238095,FALSE,3,14
"Duane Causwell",541,262,9409,1029,2029,2,7,1027,2022,588,952,794,1479,2273,243,220,767,500,1471,2648,17.3918669131238,0.507146377525875,0.285714285714286,0.507912957467854,0.61764705882353,4.89463955637708,FALSE,3,11
"Dwayne Schintzius",217,33,1950,256,633,1,8,255,625,74,116,167,369,536,93,30,117,119,321,587,8.98617511520737,0.404423380726698,0.125,0.408,0.637931034482759,2.70506912442396,FALSE,3,8
"Earl Barron",173,40,2449,305,837,3,18,302,819,145,212,242,387,629,79,59,42,134,340,758,14.1560693641618,0.364396654719235,0.166666666666667,0.368742368742369,0.683962264150943,4.38150289017341,FALSE,3,8
"Earl Cureton",752,184,14393,1788,3773,0,18,1788,3755,612,1137,1401,2223,3624,800,374,417,808,1723,4188,19.1396276595745,0.47389345348529,0,0.476165113182423,0.538258575197889,5.56914893617021,FALSE,3,12
"Eddie Griffin",303,117,6729,854,2263,237,752,617,1511,226,337,497,1247,1744,236,105,518,227,506,2171,22.2079207920792,0.377375165709236,0.315159574468085,0.408338848444739,0.670623145400593,7.16501650165017,FALSE,3,5
"Eddie Lee Wilkins",322,29,3787,596,1267,0,9,596,1258,342,606,400,602,1002,62,82,60,288,609,1534,11.7608695652174,0.470402525651144,0,0.473767885532591,0.564356435643564,4.7639751552795,FALSE,3,6
"Eddy Curry",527,411,13109,2578,4734,2,2,2576,4732,1662,2588,947,1778,2725,287,155,384,1174,1562,6820,24.8747628083491,0.544571187156738,1,0.544378698224852,0.642194744976816,12.9411764705882,FALSE,3,11
"Elden Campbell",1189,706,28494,4440,9718,2,41,4438,9677,3002,4292,2081,4706,6787,1338,782,1721,1526,3351,11884,23.9646761984861,0.456884132537559,0.048780487804878,0.458613206572285,0.699440820130475,9.99495374264087,FALSE,3,15
"Elmore Spencer",174,75,2699,394,767,0,3,394,764,149,256,130,438,568,110,53,172,255,348,937,15.5114942528736,0.513689700130378,0,0.515706806282722,0.58203125,5.38505747126437,FALSE,3,5
"Elton Brand",1058,868,34910,6599,13185,2,21,6597,13164,3627,4929,3304,5736,9040,2184,940,1828,2060,3115,16827,32.9962192816635,0.500492984452029,0.0952380952380952,0.501139471285324,0.735849056603774,15.9045368620038,FALSE,3,17
"Eric Leckner",541,63,6696,858,1730,0,5,858,1725,477,734,449,1300,1749,255,101,164,465,1241,2193,12.3770794824399,0.495953757225434,0,0.497391304347826,0.649863760217984,4.0536044362292,FALSE,3,8
"Eric Mobley",152,42,2246,254,471,4,6,250,465,116,249,193,298,491,79,41,85,153,281,628,14.7763157894737,0.53927813163482,0.666666666666667,0.53763440860215,0.465863453815261,4.13157894736842,FALSE,3,3
"Eric Montross",645,416,11647,1167,2450,0,3,1167,2447,334,737,1018,2031,3049,298,166,401,552,1780,2668,18.0573643410853,0.476326530612245,0,0.476910502656314,0.453188602442334,4.13643410852713,FALSE,3,8
"Eric Riley",186,41,1844,218,478,0,4,218,474,138,196,180,299,479,60,54,132,126,303,574,9.91397849462366,0.456066945606695,0,0.459915611814346,0.704081632653061,3.08602150537634,FALSE,3,5
"Erick Dampier",987,771,24003,2784,5595,2,16,2782,5579,1739,2779,2723,4282,7005,817,330,1398,1435,2869,7309,24.3191489361702,0.497587131367292,0.125,0.498655673059688,0.625764663548039,7.40526849037487,FALSE,3,16
"Ervin Johnson",845,452,16989,1393,2756,2,10,1391,2746,685,1133,1677,3471,5148,387,471,1087,724,2430,3473,20.105325443787,0.50544267053701,0.2,0.506554989075018,0.60458958517211,4.11005917159763,FALSE,3,13
